sample	chr	start	end	num.mark	log2	beta	nsnp	cov	n_beta	log2.corr	cnA	cnB	cnA.int	cnB.int
Sample.1	17	34493467	34495066	6	-1.4592	NA	0	NA	NA	-2.35307641420871	NA	NA	NA	NA
Sample.1	17	34495876	38926267	3385	-0.6163	0.495	146	45.9657534246575	0.984	-0.633499726820903	1.15692008138286	0.132301525879669	1	0
Sample.1	17	38926367	38927483	6	-1.32	NA	0	NA	NA	-1.98268037054986	NA	NA	NA	NA
Sample.1	17	38927823	39215982	308	-0.5886	0.423	54	59.2037037037037	0.976	-0.590142970559289	1.26097590486601	0.0675782434686762	1	0
Sample.1	17	39216082	39216129	2	-1.7765	NA	0	NA	NA	-3.572371439757	NA	NA	NA	NA
Sample.1	17	39216193	45096552	5628	-0.5925	0.489	275	56.8581818181818	0.995	-0.596219030610772	1.18850426614321	0.134466304529472	1	0
Sample.1	17	45096652	45097218	7	0.1131	NA	0	NA	NA	0.391859281877023	NA	NA	NA	NA
Sample.1	17	45099003	47131633	1456	-0.5895	0.5	64	45.640625	0.981	-0.591544325245976	1.18037972464104	0.146884565747927	1	0
Sample.1	17	47131733	47133405	6	0.1543	NA	0	NA	NA	0.444463685967912	NA	NA	NA	NA
Sample.1	17	47210017	48750516	1372	-0.597	0.462	66	42.7272727272727	0.995	-0.603241293247755	1.21141072053226	0.105135988391534	1	0
Sample.1	17	48750715	48752696	6	-1.2952	NA	1	38	NA	-1.92237804251054	NA	NA	NA	NA
Sample.1	17	48752796	62888760	5779	-0.573	0.454	278	49.6151079136691	1	-0.565929597982195	1.24629913496782	0.104740877306914	1	0
Sample.1	17	62888860	62891695	8	-1.2955	NA	0	NA	NA	-1.92309873434907	NA	NA	NA	NA
Sample.1	17	62891966	81052511	10271	-0.5655	0.45	823	49.6354799513973	1	-0.554339630721676	1.25892612522654	0.103011252440934	1	0
Sample.1	17	81187944	81188244	4	0.5152	NA	0	NA	NA	0.889638057880299	NA	NA	NA	NA
Sample.1	18	47270	28906437	5632	-0.194	0.985	348	63.6925287356322	0.991	-0.0150898345758412	1.00998690452891	0.969203163103468	1	1
Sample.1	18	28906537	28906837	4	-1.3565	NA	0	NA	NA	-2.07425461415392	NA	NA	NA	NA
Sample.1	18	28908043	55287899	4479	-0.4164	0.723	205	47.2585365853659	0.994	-0.330282684358151	1.11815310669102	0.472608133554084	1	0
Sample.1	18	55288781	55288981	3	-1.3653	NA	0	NA	NA	-2.09686924514869	NA	NA	NA	NA
Sample.1	18	55313648	55328689	31	-0.4059	NA	0	NA	NA	-0.314925947961198	NA	NA	NA	NA
Sample.1	18	55329724	55334332	4	0.4722	NA	1	43	NA	0.837898194265901	NA	NA	NA	NA
Sample.1	18	55335578	56897633	435	-0.3893	0.79	24	68.25	1	-0.290752135893479	1.06681690721486	0.568134620616787	1	1
Sample.1	18	56936247	77960723	2403	-1.1076	0.697	119	35.4033613445378	0.988	-1.50710202745287	0.570486320938845	0.133148103908676	1	0
Sample.1	18	78005080	78005180	2	-0.2895	NA	0	NA	NA	-0.147971146524126	NA	NA	NA	NA
